symbol,strategy_id,tf,mode_params,bnb_smoke,n_6m,wr_6m_pct,mode_a_ret_6m_pct,bh_ret_6m_pct,ratio_bh_6m,pass_6m,n_full,wr_full_pct,mode_a_ret_full_pct,bh_ret_full_pct,ratio_bh_full,pass_full,ops_ret_6m_pct,ops_ret_full_pct,notes
BTCUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k1.5|v50|L10,Y,11,18.2,-9.36,7.56,-1.239,FAIL,45,20.0,-27.50,31.31,-0.878,FAIL,-0.24,-0.77,
ETHUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k1.5|v20|L10,Y,20,35.0,21.54,11.45,1.882,PASS,72,37.5,56.99,6.11,9.319,PASS,0.57,1.43,
SOLUSDT,rvol-pivot-structure-break-v1,4h,mode_b|k1.5|v20|L10,Y,16,25.0,13.56,11.41,1.188,FAIL,60,26.7,-24.33,-23.98,1.015,PASS,0.40,-0.54,Near-miss 6m (1.19x B&H); SOL hard filter
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len14|k1.0|atr0.002,Y,95,27.4,-13.68,7.37,-1.855,FAIL,356,23.9,-53.23,31.40,-1.695,FAIL,-0.32,-1.74,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len14|k1.5|atr0.002,Y,57,31.6,-2.76,7.37,-0.374,FAIL,191,24.1,-52.09,31.40,-1.659,FAIL,-0.02,-1.74,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len14|k1.5|atr0.004,Y,53,32.1,-1.87,7.37,-0.254,FAIL,177,24.9,-50.71,31.40,-1.615,FAIL,-0.00,-1.67,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len10|k1.5|atr0.002,Y,53,30.2,-17.61,7.37,-2.388,FAIL,199,28.6,-52.51,31.40,-1.672,FAIL,-0.47,-1.79,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len20|k1.5|atr0.002,Y,43,30.2,0.50,7.37,0.067,FAIL,156,28.2,-43.42,31.40,-1.383,FAIL,0.06,-1.33,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_a|len14|k1.0|atr_off,Y,97,26.8,-14.18,7.37,-1.923,FAIL,359,24.0,-53.41,31.40,-1.701,FAIL,-0.33,-1.75,
BTCUSDT,emv-zero-rvol-atr-gate-v1,1h,mode_b|len14|k1.5|atr0.002,Y,70,27.1,-17.71,7.37,-2.402,FAIL,272,29.8,-51.49,31.40,-1.640,FAIL,-0.48,-1.74,
