strategy_id,TF,mode,p,x,q,btc_n_6m,btc_wr_6m,btc_ret_6m,btc_bh_6m,btc_x_bh_6m,btc_pass_6m,btc_smoke,eth_n_6m,eth_ret_6m,eth_bh_6m,eth_x_bh_6m,eth_pass_6m,eth_smoke,sol_n_6m,sol_ret_6m,sol_bh_6m,sol_x_bh_6m,sol_pass_6m,sol_smoke,bnb_n_6m,bnb_ret_6m,bnb_bh_6m,bnb_x_bh_6m,bnb_pass_6m,bnb_smoke,full_ladder_pass_6m,btc_ret_2y,btc_n_2y,btc_bh_2y,btc_ops_ret_2y,notes
chande-kroll-stop-flip,4h,A,10,1.2,7,33,30.30,14.09,23.52,0.599,N,FAIL: lag B&H (0.599x),38,7.50,30.24,0.248,N,FAIL: under 1.2x B&H (0.248x),33,23.90,32.43,0.737,N,"FAIL: under 1.2x B&H (0.737x, 0.922x rhyme)",38,6.59,26.27,0.251,N,"FAIL: under 1.2x B&H (0.251x, quiet wipe)",N,1.58,143,37.14,0.33,denser_n(33>>9)
chande-kroll-stop-flip,4h,A,14,1.0,11,18,38.89,13.96,23.52,0.593,N,FAIL: lag B&H (0.593x),18,9.06,30.24,0.300,N,FAIL: under 1.2x B&H (0.300x),19,13.13,32.43,0.405,N,"FAIL: under 1.2x B&H (0.405x, 0.922x rhyme)",21,2.86,26.27,0.109,N,"FAIL: under 1.2x B&H (0.109x, quiet wipe)",N,4.32,74,37.14,0.34,denser_n(18>>9)
chande-kroll-stop-flip,4h,A,14,1.2,7,25,36.00,13.91,23.52,0.592,N,FAIL: lag B&H (0.592x),25,17.82,30.24,0.589,N,FAIL: under 1.2x B&H (0.589x),26,19.72,32.43,0.608,N,"FAIL: under 1.2x B&H (0.608x, 0.922x rhyme)",29,8.30,26.27,0.316,N,"FAIL: under 1.2x B&H (0.316x, quiet wipe)",N,-0.08,106,37.14,0.26,denser_n(25>>9)
chande-kroll-stop-flip,4h,A,10,0.8,14,17,47.06,13.66,23.52,0.581,N,FAIL: lag B&H (0.581x),16,9.90,30.24,0.327,N,FAIL: under 1.2x B&H (0.327x),17,13.59,32.43,0.419,N,"FAIL: under 1.2x B&H (0.419x, 0.922x rhyme)",19,-4.14,26.27,-0.158,N,"FAIL: under 1.2x B&H (-0.158x, quiet wipe)",N,-3.51,73,37.14,0.20,denser_n(17>>9)
chande-kroll-stop-flip,1h,A,10,0.8,11,73,38.36,15.50,26.77,0.579,N,FAIL: lag B&H (0.579x),79,8.41,35.57,0.236,N,FAIL: under 1.2x B&H (0.236x),87,2.04,38.52,0.053,N,"FAIL: under 1.2x B&H (0.053x, 0.922x rhyme)",86,5.12,28.88,0.177,N,"FAIL: under 1.2x B&H (0.177x, quiet wipe)",N,-45.29,345,37.55,-1.24,denser_n(73>>9)
chande-kroll-stop-flip,1h,A,10,0.8,14,66,37.88,15.13,26.77,0.565,N,FAIL: lag B&H (0.565x),65,20.93,35.57,0.589,N,FAIL: under 1.2x B&H (0.589x),73,15.18,38.52,0.394,N,"FAIL: under 1.2x B&H (0.394x, 0.922x rhyme)",72,11.08,28.88,0.383,N,"FAIL: under 1.2x B&H (0.383x, quiet wipe)",N,-47.57,299,37.55,-1.35,denser_n(66>>9)
chande-kroll-stop-flip,4h,A,12,0.8,9,20,45.00,13.26,23.52,0.564,N,FAIL: lag B&H (0.564x),19,11.46,30.24,0.379,N,FAIL: under 1.2x B&H (0.379x),20,16.51,32.43,0.509,N,"FAIL: under 1.2x B&H (0.509x, 0.922x rhyme)",21,6.94,26.27,0.264,N,"FAIL: under 1.2x B&H (0.264x, quiet wipe)",N,11.18,81,37.14,0.56,denser_n(20>>9)
chande-kroll-stop-flip,4h,A,8,0.8,14,19,47.37,13.16,23.52,0.560,N,FAIL: lag B&H (0.560x),20,3.11,30.24,0.103,N,FAIL: under 1.2x B&H (0.103x),20,12.66,32.43,0.390,N,"FAIL: under 1.2x B&H (0.390x, 0.922x rhyme)",21,8.06,26.27,0.307,N,"FAIL: under 1.2x B&H (0.307x, quiet wipe)",N,-1.91,79,37.14,0.26,denser_n(19>>9)
chande-kroll-stop-flip,4h,A,10,1.2,11,25,32.00,12.98,23.52,0.552,N,FAIL: lag B&H (0.552x),26,15.81,30.24,0.523,N,FAIL: under 1.2x B&H (0.523x),25,21.21,32.43,0.654,N,"FAIL: under 1.2x B&H (0.654x, 0.922x rhyme)",30,7.97,26.27,0.303,N,"FAIL: under 1.2x B&H (0.303x, quiet wipe)",N,9.52,103,37.14,0.48,denser_n(25>>9)
chande-kroll-stop-flip,4h,A,8,1.2,9,32,28.12,12.96,23.52,0.551,N,FAIL: lag B&H (0.551x),39,2.11,30.24,0.070,N,FAIL: under 1.2x B&H (0.070x),34,21.93,32.43,0.676,N,"FAIL: under 1.2x B&H (0.676x, 0.922x rhyme)",38,5.50,26.27,0.209,N,"FAIL: under 1.2x B&H (0.209x, quiet wipe)",N,11.19,139,37.14,0.54,denser_n(32>>9)
